Protein_Name,Protein_Labels,Source,Predicted results,
Q9SB75,chloroplast,By Similarity|UniProtKB:Q9LJP4,stroma,
Q9SCK0,chloroplast,Publication|PubMed:21984698,stroma,
Q9SCY0,chloroplast,Manual assertion,membrane,
Q9SCY5,chloroplast,Publication|PubMed:17827350,stroma,
Q9SDS7,chloroplast,Publication|PubMed:17151019,membrane,
Q9SE50,chloroplast,"Manual assertion|PROSITE-ProRule:PRU10138, Publication|PubMed:19147648, Publication|PubMed:19847124",membrane,
Q9SE83,chloroplast,Publication|PubMed:12207647,membrane,
Q9SEE9,chloroplast,"Publication|PubMed:14675452, Publication|PubMed:16895966, Publication|PubMed:18414657, Publication|PubMed:19435936",stroma,
Q9SEI2,chloroplast,Publication|PubMed:9878390,membrane,
Q9SF47,chloroplast,,membrane,
Q9SFH9,chloroplast,By Similarity,envelope,
Q9SG79,chloroplast,"Publication|PubMed:19807882, Publication|PubMed:21294795, Publication|PubMed:24667841, Publication|PubMed:25412930",stroma,
Q9SGA2,chloroplast,Publication|PubMed:21323773,membrane,
Q9SGW3,chloroplast,,membrane,
Q9SGZ8,chloroplast,"Publication|PubMed:24600465, Publication|PubMed:29406622",stroma,
Q9SH69,chloroplast,Publication|PubMed:26941195,,
Q9SHC8,chloroplast,Publication|PubMed:19207211,,
Q9SI37,chloroplast,Publication|PubMed:17264121,stroma,
Q9SI64,chloroplast,Publication|PubMed:28109885,stroma,
Q9SI75,chloroplast,"Manual assertion|HAMAP-Rule:MF_03063, Publication|PubMed:16525888, Publication|PubMed:17629920",stroma,
Q9SIB9,chloroplast,"Publication|PubMed:14671022, Publication|PubMed:25061985",stroma,
Q9SID2,chloroplast,Publication|PubMed:23175755,envelope,stroma
Q9SIE1,chloroplast,Publication|PubMed:16623902,stroma,
Q9SIG8,chloroplast,Publication|PubMed:27402171,stroma,
Q9SIV3,chloroplast,By Similarity|UniProtKB:Q9FFH0,stroma,
Q9SJ05,chloroplast,By Similarity,stroma,
Q9SJ20,chloroplast,Publication|PubMed:22239102,stroma,
Q9SJE1,chloroplast,Manual assertion,stroma,
Q9SJE2,chloroplast,Manual assertion,stroma,
Q9SJF0,chloroplast,Publication|PubMed:23911552,,
Q9SJT1,chloroplast,,,
Q9SJW9,chloroplast,Publication|PubMed:15928083,membrane,
Q9SJX7,chloroplast,"Publication|PubMed:20562234, Publication|PubMed:19515790",envelope,
Q9SKN1,chloroplast,Publication|PubMed:24824487,stroma,
Q9SKP6,chloroplast,By Similarity,envelope,
Q9SL92,chloroplast,Publication|PubMed:18156294,envelope,
Q9SLA8,chloroplast,Manual assertion,envelope,
Q9SLF7,chloroplast,,envelope,
Q9SMM5,chloroplast,"Publication|PubMed:22157085, Publication|PubMed:24027245, Publication|PubMed:25794936",envelope,
Q9SMT7,chloroplast,Publication|PubMed:22447686,envelope,
Q9SMX3,chloroplast,Publication|PubMed:15060130,stroma,
Q9SN39,chloroplast,Manual assertion,stroma,
Q9SNC6,chloroplast,Publication|PubMed:18552232,,
Q9SP02,chloroplast,By Similarity,stroma,
Q9SQT8,chloroplast,Manual assertion,envelope,
Q9SRG3,chloroplast,Manual assertion,envelope,
Q9SRH5,chloroplast,"Publication|PubMed:11743114, Publication|PubMed:14671022, Publication|PubMed:19326079, Publication|PubMed:21705391",stroma,
Q9SRK5,chloroplast,Publication|PubMed:22100529,envelope,
Q9SRS9,chloroplast,,envelope,
Q9SRT3,chloroplast,By Similarity|UniProtKB:Q9LJP4,membrane,
Q9SRV5,chloroplast,Publication|PubMed:15024005,envelope,
Q9SRZ6,chloroplast,Manual assertion,envelope,
Q9SS80,chloroplast,"Publication|PubMed:22395740, Publication|PubMed:28652362",stroma,
Q9SSQ9,chloroplast,Publication|PubMed:10198096,stroma,
Q9ST27,chloroplast,,envelope,
Q9STF9,chloroplast,Manual assertion,stroma,
Q9STM3,chloroplast,"Manual assertion|PROSITE-ProRule:PRU00537, Manual assertion|PROSITE-ProRule:PRU00768, Publication|PubMed:15377760, Publication|PubMed:27111034",membrane,
Q9STX5,chloroplast,By Similarity,stroma,
Q9STY0,chloroplast,"Publication|PubMed:17220199, Publication|PubMed:20179140",,
Q9STY4,chloroplast,Publication|PubMed:23150645,envelope,
Q9SU35,chloroplast,By Similarity,envelope,
Q9SU72,chloroplast,"Publication|PubMed:16040633, Publication|PubMed:22072959, Publication|PubMed:22158819",stroma,
Q9SUA1,chloroplast,"Manual assertion|PROSITE-ProRule:PRU00768, Publication|PubMed:25387881",envelope,
Q9SUJ1,chloroplast,"Publication|PubMed:15342965, Publication|PubMed:22307646",envelope,
Q9SUM3,chloroplast,Manual assertion|HAMAP-Rule:MF_03212,,
Q9SUP6,chloroplast,"Manual assertion|PROSITE-ProRule:PRU00223, Publication|PubMed:17369373",envelope,
Q9SUR3,chloroplast,By Similarity|UniProtKB:Q9SH59,stroma,
Q9SWH4,chloroplast,"Publication|PubMed:11739776, Publication|PubMed:15342965, Publication|PubMed:22307646",stroma,
Q9SWW6,chloroplast,Publication|PubMed:27387950,stroma,
Q9SXE9,chloroplast,Publication|PubMed:17145720,stroma,
Q9SYG2,chloroplast,"Manual assertion|PROSITE-ProRule:PRU00768, Publication|PubMed:19155348",stroma,
Q9SYH1,chloroplast,Manual assertion,stroma,
Q9SYM2,chloroplast,Publication|PubMed:18796637,envelope,
Q9SYT0,chloroplast,,,
Q9SYU4,chloroplast,"Publication|PubMed:14576288, Publication|PubMed:16169966",envelope,
Q9SYX2,chloroplast,"Publication|PubMed:10205059, Publication|PubMed:16854975",stroma,membrane
Q9SZ30,chloroplast,,membrane,
Q9SZ63,chloroplast,"Publication|PubMed:16774931, Publication|PubMed:18815383",membrane,
Q9SZD4,chloroplast,Publication|PubMed:22615900,stroma,
Q9SZD6,chloroplast,"Publication|PubMed:16980539, Publication|PubMed:21139083",membrane,
Q9SZI6,chloroplast,"Manual assertion|PROSITE-ProRule:PRU00768, Publication|PubMed:22811435",membrane,
Q9SZJ5,chloroplast,Manual assertion|PubMed:25862457,membrane,
Q9T041,chloroplast,"Publication|PubMed:15324671, Publication|PubMed:15557095, Publication|PubMed:18577573",stroma,
Q9T051,chloroplast,Publication|PubMed:10198096,envelope,
Q9T053,chloroplast,Publication|PubMed:10198096,envelope,
Q9T074,chloroplast,Publication|PubMed:19807880,envelope,
Q9XEA1,chloroplast,Publication|PubMed:25162526,membrane,
Q9XEX2,chloroplast,Publication|PubMed:12913160,envelope,stroma
Q9XF67,chloroplast,By Similarity,stroma,
Q9XFD1,chloroplast,Publication|PubMed:19453442,stroma,
Q9XFR5,chloroplast,"Publication|PubMed:15034145, Publication|PubMed:15133128, Publication|PubMed:23132568",envelope,
Q9XI19,chloroplast,"Publication|PubMed:33001465, Publication|PubMed:35328480, Manual assertion|PubMed:16326926, Manual assertion|PubMed:31128276",envelope,
Q9XIE2,chloroplast,"Publication|PubMed:16415066, Publication|PubMed:16473969, Publication|PubMed:17355438, Publication|PubMed:19000165, Publication|PubMed:19648296, Publication|PubMed:20451385, Publication|PubMed:20498067, Publication|PubMed:23836668, Publication|PubMed:26315018, Publication|PubMed:27803190, Publication|PubMed:28910579, Publication|PubMed:29085068",stroma,
Q9XIM0,chloroplast,Publication|PubMed:26462908,stroma,
Q9XJ36,chloroplast,Publication|PubMed:14593120,envelope,
Q9ZNX9,chloroplast,Publication|PubMed:21123745,envelope,
Q9ZP06,chloroplast,"Publication|PubMed:11743114, Publication|PubMed:14671022, Manual assertion|PubMed:25732537",stroma,
Q9ZP20,chloroplast,Publication|PubMed:18723667,stroma,
Q9ZPF5,chloroplast,Publication|PubMed:18567826,stroma,
Q9ZQI7,chloroplast,Publication|PubMed:25372120,stroma,
Q9ZR07,chloroplast,Publication|PubMed:17092311,stroma,
Q9ZR72,chloroplast,"Publication|PubMed:14517332, Publication|PubMed:16212599, Publication|PubMed:9761790",membrane,
Q9ZRW8,chloroplast,Publication|PubMed:19174456,membrane,
Q9ZS97,chloroplast,Publication|PubMed:11156608,stroma,
Q9ZSD4,chloroplast,"Publication|PubMed:15060130, Publication|PubMed:15342965, Publication|PubMed:25082856",envelope,
Q9ZST4,chloroplast,"Manual assertion|PROSITE-ProRule:PRU00675, Publication|PubMed:16377628, Publication|PubMed:9811909",envelope,
Q9ZSY9,chloroplast,Manual assertion,envelope,
Q9ZT96,chloroplast,"Publication|PubMed:21464319, Publication|PubMed:21790815",stroma,
Q9ZU46,chloroplast,Publication|PubMed:27014878,envelope,
Q9ZU77,chloroplast,Manual assertion,envelope,
Q9ZUC1,chloroplast,Manual assertion|PubMed:21169366,envelope,
Q9ZUL3,chloroplast,Manual assertion|PubMed:16934950,envelope,
Q9ZUU4,chloroplast,Publication|PubMed:17450127,envelope,
Q9ZV08,chloroplast,"Publication|PubMed:25951519, Publication|PubMed:32633465",envelope,
Q9ZVD0,chloroplast,"Publication|PubMed:16889646, Publication|PubMed:17442570, Publication|PubMed:17675322, Publication|PubMed:19245862",stroma,
R4YXW8,chloroplast,Manual assertion,Plastoglobule,stroma
R4YZC3,chloroplast,Manual assertion,stroma,
R9QMQ9,chloroplast,Manual assertion,stroma,
R9QMR0,chloroplast,Manual assertion,membrane,
R9QMR3,chloroplast,Manual assertion,,
R9QMR5,chloroplast,Manual assertion,stroma,
R9QMW1,chloroplast,Manual assertion,,
R9QMW5,chloroplast,Manual assertion,envelope,
R9QMY8,chloroplast,Manual assertion,membrane,
R9QMY9,chloroplast,Manual assertion,stroma,
R9QMZ0,chloroplast,Manual assertion,stroma,
T1RR71,chloroplast,Manual assertion,envelope,
T1RR72,chloroplast,Manual assertion,membrane,
T1RRI5,chloroplast,Manual assertion,envelope,
T1RRI8,chloroplast,Manual assertion,stroma,
T1RRJ4,chloroplast,Manual assertion,stroma,
T1RRJ6,chloroplast,Manual assertion,envelope,
T1RRL8,chloroplast,Manual assertion,membrane,
T1RRR9,chloroplast,Manual assertion,envelope,
T1RRS0,chloroplast,Manual assertion,envelope,
U3KRF2,chloroplast,Manual assertion,stroma,
U5PZT6,chloroplast,Publication|PubMed:25056927,envelope,stroma
W6HUT3,chloroplast,Publication|PubMed:25056927,stroma,
A0A0S4IJL0,chloroplast,"By Similarity|UniProtKB:P69249, Manual assertion|HAMAP-Rule:MF_00860",stroma,
A0A178U9Y5,chloroplast,Publication|PubMed:27933080,envelope,
A0A1C9J6A7,chloroplast,Manual assertion,envelope,
A0A1D6GDY8,chloroplast,Manual assertion,,
A0A1D6KUI6,chloroplast,Manual assertion,stroma,
A0A1D6LAG9,chloroplast,Manual assertion|PubMed:12271069,stroma,
A0A1S3WYR7,chloroplast,Manual assertion,stroma,
A0A1S3YEG8,chloroplast,Manual assertion,stroma,
A0A1S4BJT3,chloroplast,Manual assertion,envelope,stroma
A0A1S4BZI5,chloroplast,By Similarity|UniProtKB:Q9FGS4,stroma,
A0A1S4CB73,chloroplast,By Similarity|UniProtKB:Q9FGS4,envelope,stroma
A0A1W6QDI7,chloroplast,Manual assertion,membrane,
A0A1W6QDJ1,chloroplast,Manual assertion,stroma,
A0A1X9IRP7,chloroplast,By Similarity|UniProtKB:G8GJ96,stroma,
A0A1X9IRQ7,chloroplast,Manual assertion,stroma,
A0A1X9ISN9,chloroplast,Manual assertion,stroma,
A0A1X9ISP7,chloroplast,Manual assertion,envelope,
A0A1Z3GBK8,chloroplast,Manual assertion,membrane,
A0A1Z3GC64,chloroplast,Manual assertion,envelope,stroma
A0A1Z3GCD1,chloroplast,Manual assertion,membrane,
A0A248QE08,chloroplast,Manual assertion,stroma,
A0A2K9RFZ7,chloroplast,Manual assertion,envelope,
A0A2K9RFZ9,chloroplast,Manual assertion|PubMed:29315936,stroma,
A0A3G1QTS7,chloroplast,Manual assertion,stroma,
A0A3G1QTU5,chloroplast,Manual assertion,stroma,
A0A7G5KLV0,chloroplast,Publication|PubMed:25956881,stroma,
A0ZZ43,chloroplast,,stroma,
A1E9T2,chloroplast,,stroma,
A1EA16,chloroplast,,envelope,
A2Y3B5,chloroplast,By Similarity|UniProtKB:Q0DJ33,stroma,
A2Y8X2,chloroplast,By Similarity,envelope,
A2YQD9,chloroplast,,envelope,
A4GG89,chloroplast,,Plastoglobule,stroma
A4GYR8,chloroplast,,stroma,
A4QJC3,chloroplast,,stroma,
A4QJK7,chloroplast,,stroma,
A4QJU1,chloroplast,,envelope,
A4QK26,chloroplast,,envelope,
A4QKB3,chloroplast,,stroma,
A4QKK0,chloroplast,,membrane,
A4QKT9,chloroplast,,stroma,
A4QL27,chloroplast,,envelope,
A4QLB4,chloroplast,,envelope,
A4QLK2,chloroplast,,stroma,
A4QLU1,chloroplast,,,
A6BM42,chloroplast,,envelope,stroma
A6H5I5,chloroplast,,envelope,
A6MM44,chloroplast,,envelope,
A6MMD0,chloroplast,,envelope,
A6MML5,chloroplast,,stroma,
A6MMV2,chloroplast,,membrane,
A6YG96,chloroplast,,membrane,
A7IZZ1,chloroplast,Manual assertion,membrane,
A7LN87,chloroplast,Manual assertion,membrane,
A7VMU4,chloroplast,Manual assertion,envelope,
A8ITB0,chloroplast,Publication|PubMed:28495749,envelope,
A8JGB0,chloroplast,"Publication|PubMed:23167510, Publication|PubMed:28382961",envelope,
A8JHB7,chloroplast,Manual assertion,stroma,
A8Y9H8,chloroplast,,membrane,
A9L9A4,chloroplast,,envelope,
A9LYA9,chloroplast,,envelope,
B0F9L4,chloroplast,Publication|PubMed:18182439,envelope,
B0M1H3,chloroplast,"Publication|PubMed:17530928, Publication|PubMed:18348867",envelope,
B0Z4K9,chloroplast,,envelope,
B0Z4U3,chloroplast,,membrane,
B0Z527,chloroplast,,envelope,
B0Z5B1,chloroplast,,envelope,
B1NWF8,chloroplast,,envelope,
B1PS76,chloroplast,,stroma,
B2LMK1,chloroplast,,envelope,
B2X1Y2,chloroplast,,envelope,
B3TN59,chloroplast,,stroma,
B3TPQ7,chloroplast,Manual assertion|PubMed:18467455,stroma,
B4FNK8,chloroplast,Publication|PubMed:21976020,membrane,
B4FR29,chloroplast,Manual assertion,stroma,
B6TTV8,chloroplast,Publication|PubMed:19251672,stroma,
B8XA41,chloroplast,Publication|PubMed:19155349,,
B9DGG8,chloroplast,,stroma,
B9DHD3,chloroplast,Manual assertion,envelope,
B9EXM2,chloroplast,Manual assertion,stroma,
B9G434,chloroplast,Manual assertion,envelope,
B9RU15,chloroplast,By Similarity,envelope,
C0HFE5,chloroplast,Manual assertion,membrane,
C0KWV3,chloroplast,Manual assertion,,
C0KWV4,chloroplast,Manual assertion,envelope,
C0KWV5,chloroplast,Manual assertion,envelope,
C0KWV6,chloroplast,Manual assertion,envelope,
C0KWV7,chloroplast,Manual assertion,envelope,
C0PPR1,chloroplast,Manual assertion,stroma,
C0PT35,chloroplast,Manual assertion,envelope,
C0PTH8,chloroplast,Manual assertion,envelope,stroma
C0Z361,chloroplast,Manual assertion,envelope,
C3RSF5,chloroplast,Manual assertion,,
C3VEP9,chloroplast,By Similarity|UniProtKB:Q40406,envelope,
C9K7B5,chloroplast,,envelope,
C9K7B7,chloroplast,,stroma,
E2E2N3,chloroplast,Manual assertion,membrane,
E2E2P1,chloroplast,Manual assertion,stroma,
E2E2P2,chloroplast,Manual assertion,stroma,
E2IHE0,chloroplast,Manual assertion,,
E5KBU3,chloroplast,Publication|PubMed:20959559,membrane,
E5KBU4,chloroplast,Publication|PubMed:20959559,envelope,
F1CKI8,chloroplast,Manual assertion,stroma,
F1CKI9,chloroplast,Manual assertion,envelope,
F1CKJ1,chloroplast,Manual assertion,stroma,
F2XF92,chloroplast,Manual assertion,envelope,
F2XF93,chloroplast,Manual assertion,,
F2XF94,chloroplast,Manual assertion,envelope,
F2XF98,chloroplast,Manual assertion,envelope,
F2XFA1,chloroplast,Manual assertion,envelope,
F2XFA2,chloroplast,Manual assertion,envelope,
F2XFA4,chloroplast,Manual assertion,envelope,
F2XFA5,chloroplast,Manual assertion,stroma,
F2XFA6,chloroplast,Manual assertion,membrane,
F4HX80,chloroplast,Publication|PubMed:24214063,stroma,
F4HZK4,chloroplast,"By Similarity|UniProtKB:F4HS99, Manual assertion|PROSITE-ProRule:PRU00768",lumen,
F4I2J8,chloroplast,Publication|PubMed:23454656,envelope,
F4I893,chloroplast,,stroma,
F4I8M8,chloroplast,Manual assertion,stroma,
F4IFC5,chloroplast,Publication|PubMed:16251277,Plastoglobule,
F4IHL3,chloroplast,Publication|PubMed:21464319,envelope,
F4INA9,chloroplast,Manual assertion,stroma,
F4IY62,chloroplast,Publication|PubMed:19286968,stroma,
F4J2C8,chloroplast,Manual assertion,envelope,
F4J5S1,chloroplast,Manual assertion|HAMAP-Rule:MF_03013,stroma,
F4J6F6,chloroplast,,envelope,
F4JF21,chloroplast,Manual assertion,envelope,
F4JFN3,chloroplast,Manual assertion,stroma,
F4JJT9,chloroplast,Publication|PubMed:16251277,stroma,
F4JLK2,chloroplast,,envelope,
F4JV80,chloroplast,"Manual assertion|HAMAP-Rule:MF_03149, Publication|PubMed:18441100, Manual assertion|PubMed:25862457",envelope,
F4K0C4,chloroplast,Publication|PubMed:21689172,stroma,
F4K4D6,chloroplast,Manual assertion|PROSITE-ProRule:PRU00768,envelope,
F4K5K6,chloroplast,Manual assertion|PubMed:26324877,,
F4KCL7,chloroplast,Manual assertion,envelope,
F4KDA5,chloroplast,"Publication|PubMed:25732537, Publication|PubMed:28936218",envelope,
F4KE63,chloroplast,Publication|PubMed:16251277,stroma,
F4KFB3,chloroplast,Publication|PubMed:28684429,envelope,
F8RP11,chloroplast,By Similarity,stroma,
F8WKW0,chloroplast,Manual assertion,stroma,
G0Y7D1,chloroplast,Manual assertion,stroma,
G0Y7D2,chloroplast,Manual assertion,stroma,
G3CCC0,chloroplast,By Similarity,envelope,
G3CCC1,chloroplast,By Similarity,envelope,
G3E4M4,chloroplast,Manual assertion,envelope,
G3ESU9,chloroplast,Manual assertion,envelope,
G3ESV0,chloroplast,Manual assertion,envelope,lumen
G4LTX4,chloroplast,Publication|PubMed:21631532,stroma,
G8GJ94,chloroplast,Publication|PubMed:22834731,stroma,
G8GJ95,chloroplast,By Similarity|UniProtKB:G8GJ96,stroma,
G8GJ96,chloroplast,Publication|PubMed:22834731,stroma,
H8ZM73,chloroplast,By Similarity,envelope,
I1M2G5,chloroplast,Publication|PubMed:24124526,envelope,
I1MSF2,chloroplast,By Similarity|UniProtKB:Q5GKZ7,stroma,
K1WG73,chloroplast,Manual assertion,envelope,stroma
K4BV52,chloroplast,Manual assertion,envelope,
K4CA50,chloroplast,Publication|PubMed:23134568,envelope,
K4D3U9,chloroplast,Publication|PubMed:23134568,envelope,
K7WCC7,chloroplast,Manual assertion,stroma,
K7X479,chloroplast,Publication|PubMed:23134568,stroma,
L0HAM7,chloroplast,Manual assertion,stroma,
L0HB77,chloroplast,Manual assertion,stroma,
M1UXG8,chloroplast,Manual assertion,membrane,
M4HXU6,chloroplast,Manual assertion,membrane,
M4HY05,chloroplast,Manual assertion,membrane,
M4HYC6,chloroplast,Manual assertion,membrane,
O03986,chloroplast,Manual assertion,stroma,
O04090,chloroplast,,stroma,
O04309,chloroplast,,membrane,
O04435,chloroplast,,stroma,
O04630,chloroplast,Publication|PubMed:10583378,membrane,
O19872,chloroplast,,stroma,
O19989,chloroplast,,membrane,
O20241,chloroplast,,stroma,membrane
O20304,chloroplast,,membrane,
O20346,chloroplast,,membrane,
O22025,chloroplast,Manual assertion,membrane,
O22137,chloroplast,"Publication|PubMed:17015439, Publication|PubMed:23001034",membrane,
O22151,chloroplast,By Similarity,membrane,
O22227,chloroplast,Publication|PubMed:22285304,stroma,
O22340,chloroplast,,membrane,
O22436,chloroplast,Manual assertion,membrane,
O22493,chloroplast,By Similarity,membrane,
O22637,chloroplast,Manual assertion,membrane,
O22886,chloroplast,Manual assertion,membrane,
O23049,chloroplast,By Similarity,,
O23247,chloroplast,Publication|PubMed:16251277,,
O23344,chloroplast,Publication|PubMed:20966083,envelope,
O23346,chloroplast,Manual assertion,membrane,
O23522,chloroplast,Manual assertion,stroma,
O23617,chloroplast,,stroma,
O23913,chloroplast,Manual assertion|PubMed:14671022,membrane,
O24163,chloroplast,Publication|PubMed:9238074,membrane,
O24282,chloroplast,,membrane,
O24396,chloroplast,,stroma,
O24474,chloroplast,,stroma,
O24475,chloroplast,,envelope,
O24600,chloroplast,Publication|PubMed:10205908,stroma,
O24650,chloroplast,,stroma,
O40986,chloroplast,By Similarity,membrane,
O40987,chloroplast,By Similarity,stroma,
O48549,chloroplast,,stroma,
O48646,chloroplast,Manual assertion,envelope,
O48713,chloroplast,Publication|PubMed:19734266,membrane,
O48721,chloroplast,Publication|PubMed:18042043,stroma,
O48724,chloroplast,Publication|PubMed:20974974,stroma,
O48844,chloroplast,,stroma,
O49160,chloroplast,Manual assertion|HAMAP-Rule:MF_03002,envelope,
O49856,chloroplast,,,
O49937,chloroplast,"Publication|PubMed:10874046, Publication|PubMed:28007896",membrane,
O62943,chloroplast,,membrane,
O62964,chloroplast,,membrane,
O62970,chloroplast,,envelope,
O63094,chloroplast,,stroma,
O64518,chloroplast,,,
O64654,chloroplast,Publication|PubMed:19109414,membrane,
O64730,chloroplast,,membrane,
O65090,chloroplast,Manual assertion|PubMed:9596631,stroma,
O65220,chloroplast,Publication|PubMed:11719511,envelope,
O78258,chloroplast,,envelope,
O78259,chloroplast,,envelope,
O78260,chloroplast,,stroma,
O78261,chloroplast,,stroma,
O78262,chloroplast,,stroma,
O80386,chloroplast,"Manual assertion|PROSITE-ProRule:PRU00768, Publication|PubMed:9668129",stroma,
O80429,chloroplast,Publication|PubMed:9952443,,
O80439,chloroplast,,envelope,
O80574,chloroplast,Manual assertion,stroma,
O80669,chloroplast,By Similarity|UniProtKB:Q9LDH1,envelope,
O80910,chloroplast,Publication|PubMed:22639582,stroma,
O80925,chloroplast,Publication|PubMed:17307897,stroma,
O81016,chloroplast,Publication|PubMed:21628525,stroma,
O81020,chloroplast,Manual assertion,envelope,
O81644,chloroplast,"Publication|PubMed:10631247, Publication|PubMed:23715472",stroma,
O82089,chloroplast,,envelope,
O82170,chloroplast,Publication|PubMed:20545893,stroma,
O82380,chloroplast,Publication|PubMed:19934379,membrane,
O82768,chloroplast,Manual assertion,membrane,
O98360,chloroplast,,envelope,
O98664,chloroplast,,membrane,
O98668,chloroplast,,membrane,
O98671,chloroplast,,membrane,
O98681,chloroplast,,membrane,
O98890,chloroplast,,stroma,
O99000,chloroplast,,membrane,
O99001,chloroplast,,membrane,
P00221,chloroplast,,stroma,
P00873,chloroplast,"Manual assertion|HAMAP-Rule:MF_00860, Publication|PubMed:28839179",membrane,
P00874,chloroplast,,membrane,
P00878,chloroplast,,membrane,
P02398,chloroplast,"Publication|PubMed:10874046, Publication|PubMed:28007896",membrane,
P03568,chloroplast,By Similarity,membrane,
P04045,chloroplast,,stroma,
P04869,chloroplast,Publication|PubMed:19570874,stroma,
P04991,chloroplast,,stroma,
P05314,chloroplast,,membrane,
P05348,chloroplast,Manual assertion|HAMAP-Rule:MF_00860,membrane,
P05466,chloroplast,Manual assertion,membrane,
P05698,chloroplast,,membrane,
P06507,chloroplast,"Manual assertion|HAMAP-Rule:MF_00537, Publication|PubMed:10874039, Publication|PubMed:28007896",membrane,
P06508,chloroplast,"Publication|PubMed:10874039, Publication|PubMed:28007896",membrane,
P06509,chloroplast,"Publication|PubMed:10874046, Publication|PubMed:28007896",membrane,
P06593,chloroplast,,membrane,
P06594,chloroplast,,membrane,
P06595,chloroplast,,stroma,membrane
P06847,chloroplast,By Similarity,stroma,membrane
P07839,chloroplast,,membrane,
P07854,chloroplast,,envelope,stroma
P08196,chloroplast,,stroma,
P08281,chloroplast,,stroma,
P08735,chloroplast,By Similarity,,
P09114,chloroplast,,stroma,
P09195,chloroplast,,stroma,
P09315,chloroplast,By Similarity,stroma,
P09516,chloroplast,Publication|PubMed:7975225,stroma,
P09559,chloroplast,,stroma,
P09594,chloroplast,"Publication|PubMed:10874046, Publication|PubMed:28007896",stroma,
P09595,chloroplast,"Publication|PubMed:10874039, Publication|PubMed:28007896",stroma,
P09597,chloroplast,"Publication|PubMed:10874039, Publication|PubMed:28007896",stroma,
P09911,chloroplast,,stroma,
P0C510,chloroplast,,stroma,
P0C7R2,chloroplast,Publication|PubMed:23581459,stroma,
P0CJ43,chloroplast,Publication|PubMed:20463089,stroma,
P0CV95,chloroplast,Publication|PubMed:15522848,stroma,
P0DI07,chloroplast,Manual assertion,stroma,
P0DI76,chloroplast,Manual assertion,stroma,
P0DI77,chloroplast,Manual assertion,stroma,
P0DKC3,chloroplast,Manual assertion,membrane,
P0DKG8,chloroplast,Manual assertion,stroma,
P0DO03,chloroplast,Publication|PubMed:26210810,stroma,
P0DO24,chloroplast,Publication|PubMed:25062973,,
P10471,chloroplast,"Publication|PubMed:17631001, Publication|PubMed:22645527",stroma,
P10796,chloroplast,Manual assertion|HAMAP-Rule:MF_00860,stroma,
P10797,chloroplast,Manual assertion|HAMAP-Rule:MF_00860,membrane,
P11421,chloroplast,,membrane,
P11422,chloroplast,,envelope,
P11964,chloroplast,,stroma,
P12298,chloroplast,,stroma,
P12629,chloroplast,"Publication|PubMed:10874046, Publication|PubMed:28007896",stroma,
P12859,chloroplast,By Similarity,stroma,
P12860,chloroplast,By Similarity,membrane,
P13547,chloroplast,Manual assertion,envelope,
P13564,chloroplast,,stroma,
P13788,chloroplast,"Publication|PubMed:10874039, Publication|PubMed:28007896",stroma,
P14874,chloroplast,,lumen,Plastoglobule
P14958,chloroplast,,Plastoglobule,
P14978,chloroplast,By Similarity,stroma,
P14980,chloroplast,By Similarity,stroma,
P14988,chloroplast,By Similarity,membrane,
P14989,chloroplast,By Similarity,stroma,
P14990,chloroplast,By Similarity,stroma,
P15102,chloroplast,,stroma,
P16096,chloroplast,,envelope,
P16306,chloroplast,,envelope,
P16972,chloroplast,,envelope,stroma
P17353,chloroplast,"Publication|PubMed:10874046, Publication|PubMed:28007896",stroma,
P17524,chloroplast,By Similarity|UniProtKB:P10471,stroma,
P17595,chloroplast,Publication|PubMed:28388677,,
P17788,chloroplast,,stroma,
P17847,chloroplast,,stroma,
P18919,chloroplast,By Similarity,stroma,
P18921,chloroplast,By Similarity,stroma,
P19050,chloroplast,Manual assertion|PubMed:16287171,envelope,
P19125,chloroplast,Manual assertion|PubMed:16287171,stroma,
P19160,chloroplast,,stroma,
P19161,chloroplast,,stroma,
P19162,chloroplast,,Plastoglobule,
P19163,chloroplast,,Plastoglobule,
P19164,chloroplast,,stroma,
P19975,chloroplast,,stroma,
P20455,chloroplast,,envelope,
P21357,chloroplast,,envelope,
P22178,chloroplast,,Plastoglobule,
P22243,chloroplast,,envelope,
P22418,chloroplast,,envelope,
P22798,chloroplast,"Publication|PubMed:10874046, Publication|PubMed:28007896",envelope,
P23400,chloroplast,By Similarity,stroma,
P23755,chloroplast,Manual assertion|HAMAP-Rule:MF_01338,envelope,stroma
P24493,chloroplast,,envelope,
P24613,chloroplast,"Publication|PubMed:10874046, Publication|PubMed:28007896",envelope,
P24671,chloroplast,,Plastoglobule,
P24674,chloroplast,,envelope,
P24675,chloroplast,,envelope,
P24676,chloroplast,,stroma,
P24677,chloroplast,,stroma,
P24678,chloroplast,,stroma,
P24679,chloroplast,,envelope,
P24680,chloroplast,,membrane,
P24681,chloroplast,,envelope,
P24846,chloroplast,,envelope,
P24847,chloroplast,,envelope,
P25269,chloroplast,Manual assertion,envelope,
P25413,chloroplast,,stroma,
P25414,chloroplast,,envelope,
P25462,chloroplast,,envelope,
P25701,chloroplast,,Plastoglobule,
P25702,chloroplast,,stroma,
P25826,chloroplast,,envelope,
P25827,chloroplast,,stroma,
P25828,chloroplast,,Plastoglobule,stroma
P25829,chloroplast,,stroma,
P25830,chloroplast,,stroma,
